Date,Price,,,
Aug 2008,60.8,,,
Sep 2008,60.8,,,
Oct 2008,60.8,,,
Nov 2008,60.8,,,
Dec 2008,69.98,,,
Jan 2009,72.51,,,
Feb 2009,75.59,,,
Mar 2009,64.07,,,
Apr 2009,59.78,,,
May 2009,62.69,,,
Jun 2009,71.66,,,
Jul 2009,83.95,,,
Aug 2009,97.67,,,
Sep 2009,80.71,,,
Oct 2009,86.79,,,
Nov 2009,99.26,,,
Dec 2009,105.25,,,
Jan 2010,125.91,,,
Feb 2010,127.62,,,
Mar 2010,139.77,,,
Apr 2010,172.47,,,
May 2010,161.35,,,
Jun 2010,143.63,,,
Jul 2010,126.36,,,
Aug 2010,145.34,,,
Sep 2010,140.63,,,
Oct 2010,148.48,,,
Nov 2010,160.55,,,
Dec 2010,168.53,,,
Jan 2011,179.63,,,
Feb 2011,187.18,,,
Mar 2011,169.36,,,
Apr 2011,179.26,,,
May 2011,177.09,,,
Jun 2011,170.88,,,
Jul 2011,172.98,,,
Aug 2011,177.45,,,
Sep 2011,177.23,,,
Oct 2011,150.43,,,
Nov 2011,135.54,,,
Dec 2011,136.45,,,
Jan 2012,140.35,,,
Feb 2012,140.4,,,
Mar 2012,144.66,,,
Apr 2012,147.65,,,
May 2012,136.27,,,
Jun 2012,134.62,,,
Jul 2012,127.94,,,
Aug 2012,107.8,,,
Sep 2012,99.47,,,
Oct 2012,113.95,,,
Nov 2012,120.35,,,
Dec 2012,128.87,,,
Jan 2013,150.49,,,
Feb 2013,154.64,,,
Mar 2013,139.87,,,
Apr 2013,137.39,,,
May 2013,124.01,,,
Jun 2013,114.81,,,
Jul 2013,127.19,,,
Aug 2013,137.06,,,
Sep 2013,134.19,,,
Oct 2013,132.57,,,
Nov 2013,136.32,,,
Dec 2013,135.79,,,
Jan 2014,128.12,,,
Feb 2014,121.37,,,
Mar 2014,111.83,,,
Apr 2014,114.58,,,
May 2014,100.56,,,
Jun 2014,92.74,,,
Jul 2014,95.97,,,
Aug 2014,92.63,,,
Sep 2014,82.27,,,
Oct 2014,80.09,,,
Nov 2014,73.12,,,
Dec 2014,68.8,,,
Jan 2015,67.39,,,
Feb 2015,62.69,,,
Mar 2015,56.94,,,
Apr 2015,51.15,,,
May 2015,60.23,,,
Jun 2015,62.29,,,
Jul 2015,51.5,,,
Aug 2015,55.38,,,
Sep 2015,56.43,,,
Oct 2015,52.74,,,
Nov 2015,46.16,,,
Dec 2015,39.6,,,
Jan 2016,41.25,,,
Feb 2016,46.18,,,
Mar 2016,55.52,,,
Apr 2016,59.58,,,
May 2016,54.85,,,
Jun 2016,51.36,,,
Jul 2016,56.57,,,
Aug 2016,60.47,,,
Sep 2016,56.67,,,
Oct 2016,58.02,,,
Nov 2016,72.25,,,
Dec 2016,79.43,,,
Jan 2017,80.82,,,
Feb 2017,88.80,,,
Mar 2017,87.20,,,
Apr 2017,70.40,,,
May 2017,61.63,,,
Jun 2017,57.86,,,
Jul 2017,66.43,,,
Aug 2017,75.10,,,
Sep 2017,69.69,,,
Oct 2017,60.38,,,
Nov 2017,63.21,,,
Dec 2017,71.28,,,
Jan 2018,75.84,,,
Feb 2018,77.48,,,
Mar 2018,69.72,,,
Apr 2018,65.30,,,
May 2018,66.66,,,
Jun 2018,65.11,,,
Jul 2018,63.58,,,
Aug 2018,67.87,,,
Sep 2018,68.28,,,
Oct 2018,70.79,,,
Nov 2018,74.17,,,
Dec 2018,67.82,,,
Jan 2019,74.30,,,
Feb 2019,80.08,,,
Mar 2019,85.75,,,
Apr 2019,92.6,,,
May 2019,95.8,,,
Jun 2019,103.95,,,
Jul 2019,120.51,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
